Ped,Bike,Bike Loop,School Area,1st St,E 2nd St,5th St,8th St,B St,F St,J St N,North Sycamore,North Anderson,North Anderson,East Covell,Olive Drive,Pole Line,West Russell,Russell,Downtown,University Rice,Old North,Old East,A St,DATE,TIME,REPORT,STREET 1,STREET 2,DISTANCE,DIRECTION,PRIMARY CAUSE,COLLISION TYPE,INJURY,Bike,5 Year Bike,5 Year  Ped,Ped,FATAL,TYPE OF COLLISION,VEHICLE 1,VEHICLE 2,INVOLVED WITH,OBJECT HIT,PEDESTRIAN ACTION,TRAFFIC CONTROL DEVICES,NOTES
162,754,144,478,84,138,383,268,167,303,46,64,86,215,253,101,264,115,22,699,175,302,203,81,,,,,,,,,,2459,697.5,305,63,159.5,9,,,,,,,,
,,,,1,,,,,,,,,,,,,,,1,,,,,1/1/2004,4:43 AM,04-0007,First Street,G Street,0',In Int.,VC 23153.A,Overturned,1,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/3/2004,4:15 PM,04-0044,825 Russell Blvd,"""""",',Not Stated,VC ,"""""",,,,,,,,,,"""""",,,,
,,,,,,,,,,,,,,,,,,,1,,,,,1/3/2004,7:21 PM,04-0046,Second Street,G Street,20',West,VC 22106,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,1/4/2004,1:38 AM,04-0047,Hemlock Lane,Menlo Drive,95',South,VC 23152.B,Hit Object,1,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,,,1,,,,,1,,,,,,,,,,1/5/2004,8:45 AM,04-0059,F Street,W Covell Blvd,35',North,VC .,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/4/2004,8:00 PM,04-0069,757 Russell Blvd,"""""",0',In Int.,VC ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1/6/2004,9:25 PM,04-0106,Cowell Blvd,Drew Avenue,0',In Int.,VC 22107,Broadside,3,,,,,,,Passenger Car,Pickup Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,1,,,,,,,,,,,,,,,,,,,1/7/2004,5:42 PM,04-0124,Mace Blvd,Second Street,0',In Int.,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,1,,,,,,1/8/2004,12:10 PM,04-0145,Russell Blvd,California Avenue,0',In Int.,VC 21750,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,1,,,, ,,,,,,,,,1,,1,,,1/8/2004,3:55 PM,04-0150,Fifth Street,E Street,0',In Int.,VC 23152.A,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,1,,,1/9/2004,12:41 PM,04-0170,G Street,Sixth Street,0',In Int.,VC 23152.A,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,1,,,,,,,,,,,,,,,,,,,1/9/2004,5:00 PM,04-0174,Second Street,Mace Blvd,0',In Int.,VC 22350,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,1/10/2004,2:16 AM,04-0191,Fifth Street,G Street,0',In Int.,VC 23152.A,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,1,,,1,,,,,,,,,,1,,1,,,1/10/2004,10:35 AM,04-0199,Fifth Street,F Street,0',In Int.,VC 22107,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,1,,,,,,,,1/10/2004,12:52 PM,04-0202,Pole Line Road,Fifth Street,220',South,VC 21804.A,Broadside,,,,,,,,Passenger Car,Pickup Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,1,,,1,,,,,,,,,,1,,1,,,1/10/2004,2:15 PM,04-0204,F Street,Fifth Street,0',In Int.,VC 21801.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/11/2004,5:46 PM,04-0228,W Covell Blvd,Lake Blvd,0',In Int.,VC 22450.A,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,1,,,1,,,,,,,,,,1,,1,,,1/12/2004,10:00 PM,04-0248,Fifth Street,F Street,0',In Int.,VC 21801.A,Head-On,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,1,,,,,,,,1/13/2004,10:00 AM,04-0262,Fifth Street,Pole Line Road,0',In Int.,VC .,Other,,,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,1,,,,,,,,1/13/2004,10:00 AM,04-0262,Fifth Street,Pole Line Road,0',In Int.,VC ,Not Stated,,,,,,,,Passenger Car,Bicycle,Not Stated,,Not Stated,,
,,,1,,,,,,,,,,,,,,,,,,,,,1/13/2004,7:20 PM,04-0267,W Covell Blvd,Oak Avenue,0',In Int.,VC 21453.C,Broadside,,,,,,,,Passenger Car,Other,Other Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,1,,,,,,,,,,,,,,,,,1/14/2004,4:25 PM,04-0285,L Street,E Eighth Street,0',In Int.,VC 21801.A,Head-On,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,1,,,,,,,,,,,,,,,,,,,1/15/2004,5:54 AM,04-0291,Second Street,Pena Drive,0',In Int.,VC 21801.A,Broadside,1,,,,,,,Passenger Car,Other,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/15/2004,7:09 AM,04-0292,Chiles Road,La Vida Way,128',East,VC 23152,Hit Object,1,,,,,,,Pickup Truck,,Fixed Object,,No Pedestrian Involved,,
,,1,1,,,,,,,,,,1,,,,,,,,,,,1/15/2004,8:27 AM,04-0295,Anderson Road,Villanova Drive,44',South,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/15/2004,9:24 PM,04-0304,Fifth Street,Trinita Terrace,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,1,,,,,,,,,,,1/16/2004,5:47 PM,04-0331,Anderson Road,Hanover Drive,0',In Int.,VC 21801.A,Broadside,1,,,,,,,Passenger Car,Other Bus,Motor Vehicle on Other Roadway,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/16/2004,6:50 PM,04-0332,Mace Blvd,Chiles Road,0',In Int.,VC 21453.A,Broadside,,,,,,,,Passenger Car,Pickup Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,1,,,,,,,,1/17/2004,1:30 PM,04-0355,Moore Blvd,Pole Line Road,227',East,VC 21801.A,Broadside,2,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,1,,,,,,,,,,,1/17/2004,6:40 PM,04-0362,805 Russell Blvd,Null,0',In Int.,VC .,Not Stated,,,,,,,,Passenger Car,Pickup Truck,Not Stated,,Not Stated,,
,1,,,,,,,1,,,,,,,,,,,1,,,,,1/20/2004,3:50 PM,04-0419,B Street,Third Street,0',In Int.,VC 21801.A,Other,1,1.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,1,,,,,,,,,1/21/2004,8:15 AM,04-0427,Richards Blvd,Olive Drive,90',North,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,1,,,,,,,,,,,,,,,,,,,,,,1/21/2004,10:51 AM,04-0431,Research Park Drive,Da Vinci Court,0',In Int.,VC 21800.B1,Other,1,1.0,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,1/23/2004,6:30 PM,04-0480,Fourth Street,F Street,100',West,VC 22106,Rear-End,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
